Song,Kick Start (seconds),Verified
Turn Back Time,32.92,2026-08-02
You've Done Enough,7.639,2026-08-02
Run Away,43.771,2026-08-02
Summer 91,49.44,2026-08-02
Repeating,52.957,2026-08-02
Midnight Hour,30.532,2026-08-02
Be Alone,0.735,2026-08-02
To The Ground,8.942,2026-08-02
Any Good,23.417,2026-08-02
Underwater,31.487,2026-08-02
Roads,0.01,2026-08-02
Inspheration,0.008,2026-08-02
Vanishing,0.001,2026-08-02
Secrets,30.026,2026-08-02
The One,7.705,2026-08-02
Virus,0.024,2026-08-02
